model_06/08_12:19 epoch : 1 ,Train_Acc: 0.72 ,Val_Acc: 0.7 ,Train_Loss: 0.1906 ,Val_Loss: 0.1981
model_06/08_12:19 epoch : 1 ,Train_Acc: 0.74 ,Val_Acc: 0.66 ,Train_Loss: 0.1738 ,Val_Loss: 0.2101
model_06/08_12:19 epoch : 1 ,Train_Acc: 0.66 ,Val_Acc: 0.77 ,Train_Loss: 0.2139 ,Val_Loss: 0.1717
model_06/08_12:19 epoch : 1 ,Train_Acc: 0.78 ,Val_Acc: 0.75 ,Train_Loss: 0.1548 ,Val_Loss: 0.1781
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.7 ,Val_Acc: 0.77 ,Train_Loss: 0.2032 ,Val_Loss: 0.1705
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.7 ,Val_Acc: 0.76 ,Train_Loss: 0.1773 ,Val_Loss: 0.1492
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.72 ,Val_Acc: 0.78 ,Train_Loss: 0.1813 ,Val_Loss: 0.1422
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.74 ,Val_Acc: 0.81 ,Train_Loss: 0.1557 ,Val_Loss: 0.1447
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.8 ,Val_Acc: 0.79 ,Train_Loss: 0.1481 ,Val_Loss: 0.1421
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.82 ,Val_Acc: 0.73 ,Train_Loss: 0.1493 ,Val_Loss: 0.1721
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.64 ,Val_Acc: 0.67 ,Train_Loss: 0.2232 ,Val_Loss: 0.2048
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.72 ,Val_Acc: 0.72 ,Train_Loss: 0.1985 ,Val_Loss: 0.19
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.76 ,Val_Acc: 0.65 ,Train_Loss: 0.1792 ,Val_Loss: 0.214
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.8 ,Val_Acc: 0.69 ,Train_Loss: 0.1535 ,Val_Loss: 0.1796
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.7 ,Val_Acc: 0.8 ,Train_Loss: 0.1868 ,Val_Loss: 0.1567
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.84 ,Val_Acc: 0.77 ,Train_Loss: 0.119 ,Val_Loss: 0.1713
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.74 ,Val_Acc: 0.68 ,Train_Loss: 0.1765 ,Val_Loss: 0.1931
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.68 ,Val_Acc: 0.75 ,Train_Loss: 0.1912 ,Val_Loss: 0.1728
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.74 ,Val_Acc: 0.8 ,Train_Loss: 0.1614 ,Val_Loss: 0.1482
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.7 ,Val_Acc: 0.83 ,Train_Loss: 0.188 ,Val_Loss: 0.1347
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.8 ,Val_Acc: 0.7 ,Train_Loss: 0.1528 ,Val_Loss: 0.206
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.78 ,Val_Acc: 0.83 ,Train_Loss: 0.1618 ,Val_Loss: 0.1434
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.66 ,Val_Acc: 0.72 ,Train_Loss: 0.2191 ,Val_Loss: 0.1926
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.8 ,Val_Acc: 0.67 ,Train_Loss: 0.1695 ,Val_Loss: 0.1904
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.78 ,Val_Acc: 0.76 ,Train_Loss: 0.1648 ,Val_Loss: 0.1529
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.74 ,Val_Acc: 0.77 ,Train_Loss: 0.191 ,Val_Loss: 0.1517
model_06/08_12:19 epoch : 2 ,Train_Acc: 0.82 ,Val_Acc: 0.75 ,Train_Loss: 0.1385 ,Val_Loss: 0.1612
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.7 ,Val_Acc: 0.77 ,Train_Loss: 0.1898 ,Val_Loss: 0.162
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.76 ,Val_Acc: 0.78 ,Train_Loss: 0.1545 ,Val_Loss: 0.1737
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.78 ,Val_Acc: 0.76 ,Train_Loss: 0.1439 ,Val_Loss: 0.1817
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.82 ,Val_Acc: 0.73 ,Train_Loss: 0.1253 ,Val_Loss: 0.1761
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.8 ,Val_Acc: 0.79 ,Train_Loss: 0.137 ,Val_Loss: 0.15
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.86 ,Val_Acc: 0.8 ,Train_Loss: 0.1233 ,Val_Loss: 0.1372
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.66 ,Val_Acc: 0.7 ,Train_Loss: 0.2169 ,Val_Loss: 0.2096
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.7 ,Val_Acc: 0.8 ,Train_Loss: 0.1791 ,Val_Loss: 0.1526
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.8 ,Val_Acc: 0.76 ,Train_Loss: 0.1572 ,Val_Loss: 0.1845
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.8 ,Val_Acc: 0.69 ,Train_Loss: 0.1497 ,Val_Loss: 0.1828
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.8 ,Val_Acc: 0.76 ,Train_Loss: 0.1604 ,Val_Loss: 0.1521
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.78 ,Val_Acc: 0.81 ,Train_Loss: 0.135 ,Val_Loss: 0.1247
